campaign_id,campaign_name,rank,influencer_id,handle,platform,category,overall_score,campaign_fit_score,authenticity_score,engagement_quality_score,cost_efficiency_score,authenticity_risk_band,matched_terms,missing_campaign_terms,explanation,weight_version
CAM-003,WanderLite Weekends,18,INF-014,creator_14,youtube,fitness,42.75,15.00,100.00,45.00,35.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,19,INF-025,creator_25,instagram,beauty,42.25,15.00,90.00,45.00,55.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,20,INF-011,creator_11,youtube,technology,37.25,15.00,88.00,35.00,25.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 88.00 × 25% = 22.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,21,INF-008,creator_08,youtube,fitness,36.50,15.00,83.00,25.00,45.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 83.00 × 25% = 20.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,22,INF-018,creator_18,tiktok,fashion,35.25,0.00,100.00,45.00,35.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 0.00 × 50% = 0.00 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,23,INF-001,creator_01,instagram,beauty,33.25,15.00,78.00,25.00,25.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 78.00 × 25% = 19.50 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,24,INF-024,creator_24,tiktok,fashion,28.75,15.00,70.00,15.00,15.00,medium,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 70.00 × 25% = 17.50 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,25,INF-022,creator_22,instagram,food,28.50,15.00,75.00,5.00,15.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 75.00 × 25% = 18.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,26,INF-005,creator_05,youtube,technology,26.00,15.00,65.00,5.00,15.00,medium,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 65.00 × 25% = 16.25 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,27,INF-004,creator_04,instagram,food,25.25,15.00,60.00,15.00,5.00,medium,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 60.00 × 25% = 15.00 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,28,INF-010,creator_10,instagram,food,23.25,15.00,28.00,35.00,35.00,high,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 28.00 × 25% = 7.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,29,INF-030,creator_30,tiktok,fashion,12.50,15.00,15.00,5.00,5.00,high,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 15.00 × 25% = 3.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,30,INF-020,creator_20,youtube,fitness,11.50,15.00,5.00,15.00,5.00,high,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 5.00 × 25% = 1.25 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
